iter	MAPE
0	0.0297175154711	0.0293534191322	0.0289277583533	0.02848161244	0.0271069184455	5	0.02764348066	0.02637401609777	0.027006188788	0.02583883048999	0.02630678261010	0.02588152141111	0.025525879112	0.02472033608
13	0.02446473623
14	0.02426573567115	0.02397275702116	0.0236837871
17	0.02345996675
18	0.02318301788
19	0.02296950243
220	0.0226044224221	0.02245864162
22	0.02224613887
23	0.02207224276224	0.02188234052525	0.02164521332626	0.02144693032727	0.02131396102828	0.02115139532929	0.02095131863030	0.02075482973131	0.02057329956
3232	0.02033587553333	0.02017372143434	0.02000538883535	0.0198427173336	0.01967578499337	0.01955960569338	0.01943710303339	0.01926543614440	0.01915067141441	0.01904034842	42	0.01893722258
43	0.01883923472
44	0.01871680314545	0.0185802646	046	0.0184710047	047	0.0183762748	048	0.018303249	0.49	0.018170450	0.50	0.018051951	0.51	0.017956852	0.52	0.01788235353	53	0.01776380854	54	0.01768075555	55	0.0176062556	0.01773861478557	0.01763536471
58	0.01753681731
59	0.017491562
60	0.0174018624
61	0.01725117926
62	0.01715121237
63	0.01707355806
64	0.01698395362
65	0.0169040467
66	0.01682940313
67	0.01673706379
68	0.01666591067
69	0.01659525514
70	0.01649641153
71	0.01643947937
72	0.01636483167
73	0.01629092489
74	0.01624954713
75	0.01618896482
76	0.01613930293
77	0.01607182965
78	0.01599249902
79	0.01591933866
80	0.01583080821
81	0.01576605831
82	0.01567849678
83	0.01562593123
84	0.01556825574
85	0.01552704556
86	0.01547362824
87	0.01540585317
88	0.01534989693
89	0.01529743873
90	0.01523306818
91	0.01518388605
92	0.01514432093
93	0.0150905698
94	0.01500664642
95	0.01497414658
96	0.01491823839
97	0.01487148872
98	0.0148198485
99	0.01477165812
100	0.01473033505
101	0.01467612061
102	0.01461278154
103	0.01456919483
104	0.01453238585
105	0.01449288609
106	0.01442454652
107	0.01437089859
108	0.01432555873
109	0.01429981467
110	0.01420548025
111	0.01415422329
112	0.01411110238
113	0.01407310096
114	0.01401342244
115	0.01398152004
116	0.01394607388
117	0.01391246276
118	0.01386001413
119	0.01382111249
120	0.01379017761
121	0.01375506302
122	0.01371505137
123	0.0136926565
124	0.01364844614
125	125	0.01372353126	126	0.01367475127	127	0.01365038128	0.01348449851
129	0.01344395876
130	0.01341430574
131	0.01338415937
132	0.01335259878
133	0.01331589876
134	0.01327880409
135	0.01325175299
