iter	MAPE
0	0.02741202748
1	0.02632772101
2	0.02527110731
3	0.02439029682
4	0.02347584488
5	0.0227362565
6	0.02213795976
7	0.02151386138
8	0.02081656257
9	0.02031226982
10	0.01980751035
11	0.01933331048
12	0.01898774246
13	0.01864123091
14	0.01834649084
15	0.0179824595
16	0.01763758384
17	0.01734343519
18	0.01707678002
19	0.01684072067
20	0.01658424187
21	0.01625488842
22	0.01589406412
23	0.01574916971
24	0.01561034057
25	0.01540356522
26	0.01518681323
27	0.01487439499
28	0.01459227535
29	0.01434098251
30	0.01425780868
31	0.01408894801
32	0.0139413172
33	0.01374100009
34	0.01355291096
35	0.01335939231
36	0.01314893376
37	0.01300184808
38	0.01287285389
39	0.01273135831
40	0.0126392007
41	0.01252485168
42	0.01236441341
43	0.01226637575
44	0.01216964297
45	0.01207751007
46	0.01200148963
47	0.01194600107
48	0.0118783799
49	0.01180299708
50	0.0117096565
51	0.01160942491
52	0.01150855059
53	0.01145510611
54	0.01139560193
55	0.01132231009
56	0.0112264285
57	0.01116791905
58	0.01111596992
59	0.01102789258
60	0.0109789097
61	0.01093891655
62	0.01084491426
63	0.01076149232
64	0.0106838765
65	0.0106385985
66	0.01060307153
67	0.01055942334
68	0.0105017435
69	0.01046673635
70	0.01038637888
71	0.01034651586
72	0.01029735092
73	0.01025973505
74	0.01017125248
75	0.01010455484
76	0.01005973726
77	0.01002049756
78	0.009970004036
79	0.009932633917
80	0.009875085058
81	0.009819827232
82	0.009764940185
83	0.009713840985
84	0.009639982701
85	0.009595382152
86	0.009531577864
87	0.009490168635
88	0.0094377666
89	0.009397634505
90	0.009347999473
91	0.009294833599
92	0.009266080102
93	0.009212417103
94	0.009188159958
95	0.009152954859
96	0.009113760187
97	0.009082834362
98	0.009027125949
99	0.008981133757
100	0.008943367593
101	0.008912847521
102	0.008878136446
103	0.008840500688
104	0.008785099498
105	0.00871596728
106	0.008685578692
107	0.008626577305
108	0.008588461054
109	0.008555542238
110	0.008496506944
111	0.008469548884
112	0.00844221561
113	0.008404306366
114	0.008380785331
115	0.008347719935
116	0.008336435216
117	0.008309574601
118	0.008262587185
119	0.008192177193
120	0.008171718753
121	0.008150884281
122	0.008110858404
123	0.008063153241
124	0.008046223899
125	0.008022539496
126	0.007980516394
127	0.007965212717
128	0.007923148762
129	0.007913681099
130	0.007897330515
131	0.007886721339
132	0.007841388258
133	0.007831423348
134	0.00780404343
135	0.007799138054
136	0.007772129204
137	0.007764408309
138	0.007719229499
139	0.007683579913
140	0.007649487744
141	0.007637971694
142	0.007611721011
143	0.00759472174
144	0.007583917261
145	0.007562306577
146	0.00754114023
147	0.007512683604
148	0.007493040065
149	0.007486649797
150	0.007461117074
151	0.007429438417
152	0.007393940806
153	0.007372556332
154	0.007356532431
155	0.007292437053
156	0.007274035035
157	0.007251983747
158	0.007239679538
159	0.007211802398
160	0.007180509458
161	0.007159929107
162	0.007108972195
163	0.007086665947
164	0.007070435635
165	0.007063511096
166	0.007047510356
167	0.007027916216
168	0.007006352296
169	0.006985061668
170	0.00696242655
171	0.006932667614
172	0.00689342777
173	0.006871347649
174	0.006851737854
175	0.006833613583
176	0.006829296993
177	0.006806875541
178	0.006797179347
179	0.006772996116
180	0.006759651321
181	0.006727801336
182	0.00671578476
183	0.006693614483
184	0.006677056193
185	0.006647376628
186	0.006622598134
187	0.006607493472
188	0.006573369772
189	0.006557601564
190	0.006533979579
191	0.006513179202
192	0.006484812694
193	0.006481568026
194	0.006476300168
195	0.006472741949
196	0.006467782304
197	0.00645017562
198	0.006431516948
199	0.006415177632
200	0.006390701219
201	0.00637956536
202	0.006362701847
203	0.006354280999
204	0.006344236435
205	0.006338326031
206	0.006317343335
207	0.006305402547
208	0.00629574614
209	0.006288123176
210	0.006267006728
211	0.006250155898
212	0.006241404298
213	0.006237296527
214	0.006232260181
215	0.00622886631
216	0.006222809173
217	0.006202021523
218	0.006195262104
219	0.006166613573
220	0.006156219595
221	0.006144798173
222	0.006110505905
223	0.006107116287
224	0.006097573523
225	0.006092272313
226	0.006083063765
227	0.006074195253
228	0.006052204018
229	0.006034599663
230	0.00602930087
231	0.00601606235
232	0.006001816819
233	0.005993747206
234	0.005986227262
235	0.005982952148
236	0.005961174063
237	0.005957171401
238	0.005946047982
239	0.005935125311
240	0.005932564466
241	0.005916567359
242	0.005912767139
243	0.005901474201
244	0.005888834764
245	0.005869552624
246	0.005850891492
247	0.005838791522
248	0.005826989038
249	0.005817501762
250	0.005800601599
251	0.005796854807
252	0.005788907909
253	0.005770022459
254	0.005756736308
255	0.005737504773
256	0.005721767377
257	0.005705903781
258	0.005690362974
259	0.005678517556
260	0.005666041635
261	0.005654629368
262	0.005642743569
263	0.005635696119
264	0.005623819138
265	0.005617580997
266	0.005612887067
267	0.005608240874
268	0.005597516097
269	0.005590119405
270	0.005566266885
271	0.005554128213
272	0.00553334868
273	0.005523066281
274	0.005513257654
275	0.005503508938
276	0.00549223921
277	0.005475985015
278	0.005467644812
279	0.005455358521
